	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
translation elongation factor EF-1 alpha subunitFUNC_PR58463	0	0	0	0	0	1	0	0	0	1	0	0
translation elongation factor EF-1 subunit alphaFUNC_PR58464	2095	420	11	3076	6051	2806	484	1109	1382	4207	2306	158
translation elongation factor EF-1 subunit alpha, partialFUNC_PR58465	11	3	0	4	7	5	10	11	10	11	1	0
translation elongation factor EF-3FUNC_PR58466	379	38	0	421	290	41	145	305	146	515	112	5
Translation elongation factor EF1-alpha, putativeFUNC_PR58467	0	0	0	0	0	0	0	0	0	1	0	0
translation elongation factor EF1B gammaFUNC_PR58468	108	31	1	100	58	48	22	107	41	213	38	7
translation elongation factor EFTu/EF1A, partialFUNC_PR58469	2	0	0	0	0	0	0	0	1	0	1	0
translation elongation factor eIF-5AFUNC_PR58470	118	75	0	274	151	44	66	92	97	476	87	7
translation elongation factor GFUNC_PR58471	0	4	0	0	0	0	0	0	0	1	1	0
translation elongation factor G, partialFUNC_PR58472	32	6	0	0	9	61	0	0	0	21	1	14
translation elongation factor TsFUNC_PR58473	8	5	0	0	3	8	5	2	0	42	0	3
translation elongation factor Ts, partialFUNC_PR58474	3	0	0	0	0	2	0	0	0	1	0	0
translation elongation factor TuFUNC_PR58475	13	12	0	30	73	50	14	14	15	65	47	0
translation elongation factor Tu, partialFUNC_PR58476	3	4	2	0	0	25	2	1	1	8	0	0
translation elongation factor Tu, putativeFUNC_PR58477	1	1	0	0	0	0	0	0	0	0	0	0
Translation elongation/initiation factor/Ribosomal, beta-barrelFUNC_PR58478	2	0	0	0	0	0	0	0	0	0	0	0
translation factor (SUA5)FUNC_PR58479	0	0	0	0	0	4	0	0	0	0	0	0
translation factor GUF1 homolog, chloroplasticFUNC_PR58480	1	0	0	0	0	0	0	0	0	0	0	0
translation factor GUF1, mitochondrialFUNC_PR58481	0	0	0	1	1	0	1	0	0	0	0	0
translation factor GUF1, mitochondrial-likeFUNC_PR58482	0	0	0	0	0	0	0	0	3	0	0	0
translation factor Sua5FUNC_PR58483	1	1	0	0	0	9	0	0	0	2	0	8
translation factor Sua5, partialFUNC_PR58484	0	0	0	0	0	0	0	0	0	1	0	0
translation initiation factor 1 (chloroplast)FUNC_PR58485	0	4	0	1	0	1	0	0	0	0	0	0
translation initiation factor 1 (plastid)FUNC_PR58486	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor 2FUNC_PR58487	0	0	0	4	7	0	0	4	1	20	5	0
translation initiation factor 2 (IF-2, GTPase)FUNC_PR58488	0	0	0	0	0	0	0	0	0	1	0	0
translation initiation factor 2 subunit 1FUNC_PR58489	0	0	0	0	3	0	0	0	0	0	0	0
translation initiation factor 2 subunit 2FUNC_PR58490	5	0	0	0	0	1	1	0	0	0	0	0
translation initiation factor 2 subunit 3FUNC_PR58491	0	1	0	0	0	19	0	0	0	1	0	0
translation initiation factor 3 subunit AFUNC_PR58492	4	0	0	1	0	2	0	0	0	0	0	0
translation initiation factor 3 subunit BFUNC_PR58493	4	0	0	0	0	3	0	0	0	1	0	0
translation initiation factor 3 subunit CFUNC_PR58494	0	0	0	0	1	0	0	0	0	0	0	0
translation initiation factor 3 subunit CLU1FUNC_PR58495	17	2	0	31	22	0	28	17	10	39	5	0
translation initiation factor 3 subunit EFUNC_PR58496	0	2	0	0	0	0	0	0	0	0	0	0
translation initiation factor 3 subunit FFUNC_PR58497	0	0	0	0	2	11	0	0	0	0	0	0
translation initiation factor 3 subunit GFUNC_PR58498	0	0	0	0	0	15	0	0	0	0	0	0
translation initiation factor 3 subunit HFUNC_PR58499	2	4	1	0	0	0	0	0	0	0	0	0
translation initiation factor 3 subunit IFUNC_PR58500	1	0	0	0	0	4	0	0	0	0	0	0
translation initiation factor 3 subunit JFUNC_PR58501	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor 3 subunit MFUNC_PR58502	0	0	0	0	0	2	0	0	0	0	0	0
translation initiation factor 3, subunit AFUNC_PR58503	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor 4AFUNC_PR58504	3	0	0	0	2	8	0	0	0	2	0	0
translation initiation factor 4BFUNC_PR58505	0	1	0	0	2	0	0	0	0	0	0	0
translation initiation factor 4EFUNC_PR58506	0	2	0	0	0	0	0	0	0	0	0	0
translation initiation factor 4GFUNC_PR58507	0	0	0	0	0	2	0	0	0	0	0	0
translation initiation factor 5FUNC_PR58508	1	1	0	0	1	0	0	0	0	0	0	0
translation initiation factor 5BFUNC_PR58509	0	0	0	0	2	0	0	0	0	0	0	0
translation initiation factor 6FUNC_PR58510	4	3	0	5	10	0	0	5	1	7	9	0
translation initiation factor aIF-2FUNC_PR58511	4	0	0	0	0	0	0	1	0	0	1	0
translation initiation factor eIF-1AFUNC_PR58512	0	0	0	0	0	0	0	0	0	1	0	0
translation initiation factor eIF-2BFUNC_PR58513	3	0	2	0	0	1	1	0	0	0	0	0
translation initiation factor eIF-2B subunit alphaFUNC_PR58514	0	0	0	0	1	2	0	0	0	0	0	0
translation initiation factor eIF-2B subunit betaFUNC_PR58515	2	0	0	0	8	8	0	0	0	0	0	0
translation initiation factor eIF-2B subunit gamma-likeFUNC_PR58516	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor eIF-3 subunit 7FUNC_PR58517	0	0	0	0	0	0	0	1	0	0	0	0
translation initiation factor eIF-3, subunit D, partialFUNC_PR58518	0	1	0	0	0	0	0	0	0	0	0	0
translation initiation factor eIF-3bFUNC_PR58519	0	1	0	0	0	0	0	1	0	0	0	0
translation initiation factor eIF-4AFUNC_PR58520	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor eIF-5AFUNC_PR58521	3	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor eIF2 subunit betaFUNC_PR58522	0	0	0	12	16	0	2	7	5	24	12	0
translation initiation factor eIF2 subunit gammaFUNC_PR58523	0	0	0	3	0	0	10	11	1	0	0	0
translation initiation factor eIF2B catalytic subunit epsilonFUNC_PR58524	1	0	0	10	11	0	2	3	4	31	11	0
translation initiation factor eIF2B subunit alphaFUNC_PR58525	0	0	0	2	0	0	0	0	0	2	0	0
translation initiation factor eIF2B subunit betaFUNC_PR58526	6	0	0	2	7	0	2	2	0	9	5	0
translation initiation factor eIF2B subunit deltaFUNC_PR58527	0	0	0	14	7	0	2	3	4	8	4	0
translation initiation factor eIF2B subunit gammaFUNC_PR58528	2	2	0	5	22	8	6	12	4	13	18	0
translation initiation factor eIF3 core subunit aFUNC_PR58529	7	3	0	13	16	1	21	34	22	31	9	0
translation initiation factor eIF3 core subunit bFUNC_PR58530	29	0	0	16	53	5	8	38	12	44	18	0
translation initiation factor eIF3 core subunit cFUNC_PR58531	14	2	0	4	6	0	4	17	6	8	2	0
translation initiation factor eIF3 core subunit gFUNC_PR58532	1	1	0	16	30	2	6	43	15	22	27	0
translation initiation factor eIF3 core subunit jFUNC_PR58533	6	0	0	7	9	0	2	7	2	19	3	0
translation initiation factor eIF3 subunitFUNC_PR58534	0	0	0	0	2	1	0	0	0	1	1	0
translation initiation factor eIF3 subunit gFUNC_PR58535	0	0	0	0	0	0	0	0	0	0	0	1
translation initiation factor eIF3 subunit iFUNC_PR58536	99	11	0	42	46	10	9	27	29	118	18	0
Translation initiation factor eIF3, subunit BFUNC_PR58537	2	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor eIF4AFUNC_PR58538	3	1	0	12	8	4	4	0	10	24	5	0
translation initiation factor eIF4GFUNC_PR58539	7	0	0	25	22	1	23	42	23	81	15	0
translation initiation factor eIF5FUNC_PR58540	2	0	0	0	6	0	2	7	2	4	2	0
translation initiation factor eIF5BFUNC_PR58541	24	1	0	23	32	6	28	29	7	46	10	0
translation initiation factor IF-1FUNC_PR58542	9	8	0	1	4	8	0	0	0	2	1	0
translation initiation factor IF-1, partialFUNC_PR58543	1	1	0	0	1	1	0	0	0	1	0	0
translation initiation factor IF-2FUNC_PR58544	121	86	4	12	60	331	16	12	3	143	12	56
translation initiation factor IF-2 isoform X1FUNC_PR58545	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor IF-2 subunit alphaFUNC_PR58546	4	0	0	0	0	0	0	0	0	0	0	1
translation initiation factor IF-2 subunit betaFUNC_PR58547	2	9	0	0	0	6	0	0	0	0	0	0
translation initiation factor IF-2 subunit gammaFUNC_PR58548	0	0	0	0	0	16	0	0	0	1	0	0
translation initiation factor IF-2-likeFUNC_PR58549	1	0	0	0	7	20	0	0	0	0	0	0
translation initiation factor IF-2-like isoform X2FUNC_PR58550	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor IF-2, chloroplasticFUNC_PR58551	0	0	0	0	1	0	0	0	0	0	0	0
Translation initiation factor IF-2, mitochondrialFUNC_PR58552	1	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor IF-2, partialFUNC_PR58553	15	9	0	3	7	26	4	5	2	66	2	0
translation initiation factor IF-3FUNC_PR58554	13	12	0	3	12	104	7	8	2	94	4	9
translation initiation factor IF-3, partialFUNC_PR58555	1	0	0	0	0	6	0	0	0	1	0	0
translation initiation factor IF-5AFUNC_PR58556	1	0	0	0	1	1	0	0	0	1	0	0
translation initiation factor IF-5A, partialFUNC_PR58557	0	0	0	0	0	0	0	0	0	1	0	0
Translation initiation factor IF2/IF5FUNC_PR58558	0	0	0	0	0	0	0	1	0	0	0	0
Translation initiation factor IF2/IF5, zinc-bindingFUNC_PR58559	1	0	0	0	0	0	0	0	0	0	0	0
Translation initiation factor RLI1FUNC_PR58560	0	1	0	0	0	0	0	0	0	0	0	0
translation initiation factor RLI1-likeFUNC_PR58561	0	0	0	0	0	0	1	0	0	0	0	0
translation initiation factor SUI1FUNC_PR58562	0	1	0	0	0	2	0	0	1	4	0	0
translation initiation factor SUI1, partialFUNC_PR58563	4	0	0	0	0	0	0	0	0	0	0	0
translation initiation factor-like protein eIF-2B subunit alphaFUNC_PR58564	1	0	0	0	0	0	0	0	0	0	0	0
translation machinery associated TMA7FUNC_PR58565	0	0	0	0	1	0	0	0	0	0	0	0
translation machinery-associated protein 20FUNC_PR58566	0	0	0	2	2	0	0	4	4	1	0	0
translation machinery-associated protein 20-likeFUNC_PR58567	1	0	0	0	0	0	0	2	0	0	0	0
translation machinery-associated protein 22FUNC_PR58568	0	6	0	0	2	0	0	0	0	0	0	0
translation machinery-associated protein 7-likeFUNC_PR58569	0	0	0	0	0	0	0	1	0	0	0	0
translation protein SH3-like domain-containing proteinFUNC_PR58570	0	0	0	0	0	0	0	0	1	0	0	0
translation protein SH3-like proteinFUNC_PR58571	0	0	0	0	0	0	0	0	0	1	0	0
translation repressor RelEFUNC_PR58572	0	0	0	0	0	13	0	0	0	0	0	0
translation termination factor eRF1FUNC_PR58573	6	0	0	1	1	0	4	2	1	10	1	0
translation termination factor GTPase eRF3FUNC_PR58574	0	0	0	6	2	1	14	12	1	15	1	0
translational activator gcn1FUNC_PR58575	0	0	0	0	0	0	1	0	0	0	0	0
translational activator GCN1FUNC_PR58576	4	0	0	0	2	8	0	0	0	2	0	11
Translational activator gcn1FUNC_PR58577	0	1	0	0	0	0	0	0	0	0	0	0
Translational elongation factor 3, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomesFUNC_PR58578	110	36	0	25	11	1	5	6	6	20	10	1
translational elongation factor EF-1 alphaFUNC_PR58579	0	0	1	0	0	0	0	1	0	0	0	0
Translational elongation factor EF-1 alphaFUNC_PR58580	3	0	0	0	0	0	1	1	0	0	2	0
translational GTPase TypAFUNC_PR58581	29	21	2	5	12	134	4	2	2	35	1	15
translational GTPase TypA, partialFUNC_PR58582	6	2	0	1	7	8	0	0	0	8	0	0
translational initiation factor 2 betaFUNC_PR58583	1	0	0	0	0	0	1	0	0	0	0	0
translational machinery componentFUNC_PR58584	1	1	0	0	0	1	0	0	0	0	0	0
translational machinery component, partialFUNC_PR58585	0	0	0	0	0	0	0	0	1	0	0	0
translationally controlled tumor proteinFUNC_PR58586	0	0	0	0	1	0	0	0	0	0	0	0
translationally controlled tumor-associatedFUNC_PR58587	1	1	0	2	1	0	3	2	0	0	0	1
translationally-controlled tumor proteinFUNC_PR58588	2	0	0	0	0	0	1	0	1	0	0	0
Translationally-controlled tumor proteinFUNC_PR58589	0	1	0	0	0	0	0	0	0	0	0	0
translationally-controlled tumor protein homologFUNC_PR58590	35	20	1	0	3	0	0	3	2	1	4	0
TranslinFUNC_PR58591	0	0	0	0	1	0	2	0	0	1	0	0
translocaseFUNC_PR58592	1	1	0	0	5	17	0	0	0	3	0	0
translocase of chloroplast 120, chloroplasticFUNC_PR58593	1	2	0	0	0	0	0	0	0	0	0	0
translocase of chloroplast 120, chloroplastic-likeFUNC_PR58594	4	1	0	0	0	0	0	0	0	0	0	0
translocase of chloroplast 120, chloroplastic-like isoform X2FUNC_PR58595	0	0	0	0	1	0	0	0	0	0	0	0
translocase of chloroplast 34, chloroplastic-like isoform X3FUNC_PR58596	0	0	0	0	1	0	0	0	0	0	0	0
translocase of chloroplast 90, chloroplasticFUNC_PR58597	1	0	0	0	0	0	0	0	0	0	0	0
translocase of outer mitochondrial membrane complex, subunit TOM41FUNC_PR58598	0	0	0	0	0	0	0	1	0	0	0	0
translocase ULS1FUNC_PR58599	1	3	0	17	28	1	5	17	16	39	21	0
translocation channel protein TIM22FUNC_PR58600	0	0	0	13	29	4	3	7	4	24	11	0
translocation proteinFUNC_PR58601	0	0	0	0	0	1	0	0	0	1	0	0
translocation protein sec62-likeFUNC_PR58602	0	0	0	0	0	0	0	2	0	0	0	0
translocation protein SEC63FUNC_PR58603	0	0	0	0	0	7	0	0	0	0	0	0
translocation protein sec63-likeFUNC_PR58604	0	0	0	0	0	0	0	0	0	1	0	0
translocation protein sec66-likeFUNC_PR58605	1	0	0	0	0	0	0	0	1	1	0	0
translocation protein SEC72FUNC_PR58606	0	0	0	0	1	0	0	0	0	0	0	0
translocation protein TolBFUNC_PR58607	3	9	0	0	1	7	1	1	1	10	1	0
translocation protein TolB precursorFUNC_PR58608	0	1	0	0	0	0	0	0	0	0	0	0
translocation protein TolB, partialFUNC_PR58609	0	0	0	0	0	0	1	0	0	0	0	0
translocation-enhancing protein TepAFUNC_PR58610	0	0	0	0	0	1	0	0	0	0	0	0
translocation/assembly module TamBFUNC_PR58611	5	14	0	1	3	20	0	1	1	5	0	0
translocator proteinFUNC_PR58612	1	0	0	0	0	0	1	1	0	0	0	0
translocator protein homologFUNC_PR58613	5	0	0	0	0	0	0	0	0	0	0	0
translocon at the outer membrane of chloroplasts 64FUNC_PR58614	12	0	0	0	1	0	0	0	2	0	1	0
translocon subunit SEC61FUNC_PR58615	21	2	0	23	39	12	3	14	11	35	22	0
translocon subunit SSS1FUNC_PR58616	2	2	0	2	6	0	0	4	13	16	8	0
translocon-associated protein subunit betaFUNC_PR58617	7	0	0	0	0	0	0	0	0	1	0	0
translocon-associated protein subunit beta-like isoform X2FUNC_PR58618	0	1	0	0	0	0	0	0	0	0	0	0
transmembrane (4fe-4S) cluster-binding oxidoreductaseFUNC_PR58619	0	0	0	0	0	1	0	0	0	0	0	0
transmembrane 9 superfamily member 1FUNC_PR58620	8	0	0	0	0	0	0	0	0	0	1	0
transmembrane 9 superfamily member 10-likeFUNC_PR58621	18	2	0	2	1	0	0	0	3	1	0	0
transmembrane 9 superfamily member 11FUNC_PR58622	5	0	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 11-likeFUNC_PR58623	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 12FUNC_PR58624	1	0	0	0	0	1	0	0	2	0	0	0
transmembrane 9 superfamily member 2FUNC_PR58625	15	1	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 2 isoform X1FUNC_PR58626	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 2-likeFUNC_PR58627	0	1	0	0	0	1	0	0	0	0	0	0
transmembrane 9 superfamily member 2/4FUNC_PR58628	3	0	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 4FUNC_PR58629	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 5-likeFUNC_PR58630	2	0	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 7FUNC_PR58631	2	0	1	1	1	0	0	0	0	0	0	0
Transmembrane 9 superfamily member 7FUNC_PR58632	0	0	0	0	0	0	0	0	1	0	0	0
transmembrane 9 superfamily member 7-likeFUNC_PR58633	0	0	0	0	0	0	0	1	0	0	0	0
transmembrane 9 superfamily member 8-likeFUNC_PR58634	5	0	0	0	0	0	0	0	0	0	0	0
transmembrane 9 superfamily member 8-like isoform X1FUNC_PR58635	0	0	0	0	1	0	0	0	0	0	0	0
transmembrane 9 superfamily member 9-likeFUNC_PR58636	0	0	0	0	0	0	0	0	0	1	0	0
transmembrane amino acid transporterFUNC_PR58637	0	0	0	0	0	0	1	0	0	0	0	0
transmembrane amino acid transporter protein-domain-containing proteinFUNC_PR58638	0	0	0	0	0	0	2	1	0	0	0	0
transmembrane anchor proteinFUNC_PR58639	0	0	0	0	0	0	0	0	1	1	0	0
transmembrane anti-sigma factorFUNC_PR58640	0	0	0	0	0	1	0	0	0	0	0	0
transmembrane ascorbate ferrireductase 1-likeFUNC_PR58641	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane ascorbate ferrireductase 1, partialFUNC_PR58642	0	0	0	0	0	3	0	0	0	0	0	0
transmembrane componentFUNC_PR58643	2	2	0	0	1	2	0	0	0	0	0	0
transmembrane di-heme cytochrome, partialFUNC_PR58644	0	3	0	0	0	0	0	0	0	0	0	0
transmembrane emp24 domain-containing proteinFUNC_PR58645	0	0	0	1	0	0	0	0	1	0	0	0
transmembrane emp24 domain-containing protein 4FUNC_PR58646	0	0	0	0	0	0	0	0	0	1	0	0
transmembrane emp24 domain-containing protein 7-likeFUNC_PR58647	0	0	0	0	0	0	0	0	0	2	0	0
transmembrane emp24 domain-containing protein p24delta3-likeFUNC_PR58648	0	1	0	0	0	0	0	0	0	0	0	0
transmembrane emp24 domain-containing protein p24delta5-likeFUNC_PR58649	7	7	0	1	1	0	0	0	1	1	0	0
transmembrane emp24 domain-containing protein p24delta9 isoform X2FUNC_PR58650	0	0	0	0	0	0	0	0	0	0	1	0
transmembrane emp24 domain-containing protein p24delta9-likeFUNC_PR58651	6	0	0	0	0	0	0	1	0	0	0	0
transmembrane GTPase fzo1FUNC_PR58652	0	2	0	0	0	0	0	0	0	0	0	0
transmembrane GTPase Fzo1FUNC_PR58653	0	0	0	0	0	3	0	0	0	0	0	0
transmembrane GTPase fzo1-likeFUNC_PR58654	0	1	0	0	0	0	0	2	1	0	0	0
transmembrane GTPase MarfFUNC_PR58655	0	0	0	0	0	1	0	0	0	0	0	0
transmembrane proteinFUNC_PR58656	0	0	0	0	0	0	0	1	0	0	0	0
transmembrane protein 120 homologFUNC_PR58657	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane protein 147FUNC_PR58658	1	0	0	0	0	0	0	0	0	0	1	0
transmembrane protein 147-like, partialFUNC_PR58659	0	2	0	0	0	0	0	0	0	0	0	0
transmembrane protein 184 homolog C30D11.06c-likeFUNC_PR58660	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane protein 184B-likeFUNC_PR58661	0	0	0	0	0	0	0	0	0	1	0	0
transmembrane protein 184CFUNC_PR58662	0	0	0	0	0	2	0	0	0	0	0	0
transmembrane protein 205FUNC_PR58663	19	10	0	0	1	0	0	0	0	0	0	0
transmembrane protein 205-likeFUNC_PR58664	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane protein 208 homologFUNC_PR58665	0	0	0	0	1	0	0	0	0	1	0	0
transmembrane protein 209FUNC_PR58666	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane protein 230-likeFUNC_PR58667	3	0	0	1	0	0	0	0	0	0	0	0
transmembrane protein 256 homologFUNC_PR58668	0	0	0	0	0	0	0	0	0	2	0	0
transmembrane protein 256 homolog isoform X5FUNC_PR58669	0	0	0	0	0	0	0	1	0	0	0	0
transmembrane protein 256 homolog isoform X8FUNC_PR58670	1	0	0	0	0	0	0	0	0	0	0	0
transmembrane protein 258FUNC_PR58671	8	1	0	0	0	0	0	0	0	0	0	0
transmembrane protein 33 homologFUNC_PR58672	2	0	0	1	0	0	0	0	0	0	0	0
transmembrane protein 45A-likeFUNC_PR58673	11	16	0	0	1	0	0	0	0	0	0	0
transmembrane protein 50 homologFUNC_PR58674	13	8	0	1	2	0	0	0	0	2	0	0
transmembrane protein 53FUNC_PR58675	2	0	0	0	0	0	0	0	0	0	0	0
transmembrane protein 85FUNC_PR58676	0	0	0	0	0	4	0	0	0	0	0	0
transmembrane protein 87B-likeFUNC_PR58677	1	3	0	0	0	0	1	1	0	0	0	0
transmembrane transporterFUNC_PR58678	0	0	0	2	0	0	0	0	0	0	0	0
transpeptidaseFUNC_PR58679	1	0	0	3	0	15	0	0	0	4	0	0
transport ATP-binding proteinFUNC_PR58680	0	1	0	0	0	0	0	0	0	0	0	0
transport inhibitor response 1-like proteinFUNC_PR58681	6	6	0	0	0	0	0	0	0	0	0	0
transport membrane protein, partial (mitochondrion)FUNC_PR58682	1	4	0	0	0	0	0	0	0	0	0	0
transport of long-chain fatty acidFUNC_PR58683	0	4	0	0	0	0	0	0	0	0	0	0
Transport protein Avl9FUNC_PR58684	0	0	0	0	0	1	0	0	0	0	0	0
transport protein Avl9-domain-containing proteinFUNC_PR58685	0	0	0	0	0	0	0	0	0	1	0	0
transport protein particle complex II subunit TRS130FUNC_PR58686	2	0	0	1	3	0	0	5	9	11	2	0
Transport protein particle subunit trs31FUNC_PR58687	0	0	0	1	0	0	0	0	0	0	0	0
transport protein SEC31FUNC_PR58688	0	2	0	0	0	0	0	0	0	0	0	0
transport protein-like protein sec23FUNC_PR58689	0	0	0	0	0	1	0	0	0	0	0	0
transport protein, putativeFUNC_PR58690	0	0	0	0	0	0	1	0	0	0	0	0
transporterFUNC_PR58691	170	183	1	9	62	385	5	5	3	93	5	126
transporter (MirC)FUNC_PR58692	0	0	0	0	2	4	0	0	0	0	0	0
transporter auxin efflux carrier domain proteinFUNC_PR58693	0	0	0	0	0	0	0	0	0	1	0	0
transporter auxin efflux carrier-like proteinFUNC_PR58694	0	0	0	0	0	1	0	0	0	0	0	0
transporter gate domain protein, partialFUNC_PR58695	1	12	0	0	0	0	0	0	0	0	0	0
transporter involved in the export of O-antigen and teichoic acidFUNC_PR58696	0	0	0	0	1	0	0	0	0	0	0	0
transporter particle subunit bet5FUNC_PR58697	0	0	0	0	0	0	0	0	0	1	0	0
transporter periplasmic proteinFUNC_PR58698	0	0	0	0	0	0	0	0	0	1	0	0
transporter permeaseFUNC_PR58699	0	2	0	0	0	1	0	0	0	0	0	0
transporter proteinFUNC_PR58700	0	1	0	0	0	0	0	0	0	0	0	0
transporter protein smf2FUNC_PR58701	1	0	0	0	0	0	0	0	0	0	0	0
transporter protein Smf2FUNC_PR58702	0	1	0	0	0	0	0	0	0	0	0	0
transporter SSS familyFUNC_PR58703	2	0	0	0	0	0	0	0	0	1	0	0
transporter YIP1FUNC_PR58704	1	0	0	0	0	0	0	0	0	0	0	0
transporter, divalent anion:Na+ symporter familyFUNC_PR58705	0	0	0	0	0	0	0	0	0	1	0	0
transporter, major facilitator subfamily proteinFUNC_PR58706	0	0	0	1	0	0	0	0	0	0	0	0
transporter, partialFUNC_PR58707	33	22	0	1	29	41	0	0	0	27	3	9
transporter, small conductance mechanosensitive ion channel MscS family proteinFUNC_PR58708	1	0	0	0	0	0	0	0	0	0	0	0
transportin MOS14 isoform X1FUNC_PR58709	3	0	0	0	0	0	0	0	0	0	0	0
transportin MOS14 isoform X2FUNC_PR58710	3	0	0	0	0	0	0	0	0	0	0	0
transportin-1FUNC_PR58711	1	0	0	0	0	1	0	0	0	1	0	0
transportin-1-like isoform X2FUNC_PR58712	1	0	0	0	0	0	0	1	0	0	0	0
transportin-3FUNC_PR58713	0	0	0	0	2	2	0	0	0	0	0	0
Transportin-PCFUNC_PR58714	0	0	0	0	0	0	0	0	0	1	0	0
transposaseFUNC_PR58715	240	399	10	19	144	1856	11	15	14	122	35	214
transposase family proteinFUNC_PR58716	1	0	0	0	0	2	0	0	0	2	0	0
Transposase family tnp2FUNC_PR58717	0	0	0	0	2	0	0	0	0	0	0	0
transposase-like proteinFUNC_PR58718	0	0	0	0	0	4	1	0	0	1	0	0
transposase, partialFUNC_PR58719	147	97	9	2	50	725	0	3	0	48	6	89
transposon DNA-invertaseFUNC_PR58720	0	3	0	0	0	1	0	0	0	2	0	0
transposon DNA-invertase, partialFUNC_PR58721	0	0	0	0	2	0	0	0	0	1	0	0
transposon Tn21 resolvase, partialFUNC_PR58722	3	0	0	0	0	0	0	0	0	0	0	0
transposon, putativeFUNC_PR58723	1	0	0	0	0	0	0	0	0	0	0	0
TRAP transporterFUNC_PR58724	0	9	0	0	0	0	0	0	0	0	0	0
TRAP transporter fused permease subunitFUNC_PR58725	1	3	0	0	3	2	0	0	0	0	0	4
TRAP transporter large permeaseFUNC_PR58726	8	11	0	0	7	20	0	1	0	3	0	10
TRAP transporter large permease, partialFUNC_PR58727	1	4	0	0	0	0	0	1	0	1	0	0
TRAP transporter permeaseFUNC_PR58728	1	1	0	0	0	0	0	0	0	0	0	0
TRAP transporter permease DctMFUNC_PR58729	4	0	0	0	0	6	0	0	0	0	1	0
TRAP transporter permease DctM/QFUNC_PR58730	3	0	0	0	0	0	0	0	0	1	0	4
TRAP transporter permease DctQFUNC_PR58731	0	0	0	0	0	3	0	1	0	0	0	0
TRAP transporter small permeaseFUNC_PR58732	2	5	0	0	0	46	1	0	0	3	2	0
TRAP transporter small permease proteinFUNC_PR58733	0	1	0	0	0	9	0	0	0	0	0	0
TRAP transporter substrate-binding proteinFUNC_PR58734	1	7	0	0	2	24	0	0	1	1	0	0
TRAP transporter substrate-binding protein DctPFUNC_PR58735	1	0	0	0	0	24	0	0	0	0	0	1
TRAP-type C4-dicarboxylate transport system, periplasmic componentFUNC_PR58736	0	0	0	0	0	2	0	0	0	0	0	0
TRAPP complex core subunit BET3FUNC_PR58737	0	0	0	3	1	0	0	1	1	8	0	0
TRAPP subunit BET5FUNC_PR58738	0	0	0	0	0	0	0	0	0	6	2	0
TRAPP subunit TRS20FUNC_PR58739	0	0	0	2	4	3	0	2	3	15	5	0
TRAPP subunit TRS23FUNC_PR58740	0	9	0	23	92	16	2	26	12	68	73	0
TRAPP subunit TRS31FUNC_PR58741	1	0	0	6	50	70	3	1	1	30	49	3
TraR/DksA family transcriptional regulatorFUNC_PR58742	0	2	0	0	0	0	0	0	0	0	0	0
traU family proteinFUNC_PR58743	0	0	0	0	0	5	0	0	0	0	0	0
TraX family proteinFUNC_PR58744	0	0	0	0	0	0	0	0	0	1	0	0
TraY domain-containing proteinFUNC_PR58745	0	0	0	0	0	4	0	0	0	0	0	0
TrbC mating pair formation proteinFUNC_PR58746	0	1	0	0	0	0	0	0	0	0	0	0
TRC40/GET3/ArsA family transport-energizing ATPaseFUNC_PR58747	0	0	0	0	0	0	0	0	0	0	0	3
TRC40/GET3/ArsA family transport-energizing ATPase, partialFUNC_PR58748	0	0	0	0	0	0	0	0	0	0	0	1
Tre1FUNC_PR58749	0	0	0	0	1	0	0	0	0	2	1	0
Tre1 family proteinFUNC_PR58750	0	0	0	0	0	0	0	0	0	1	0	0
Tre1pFUNC_PR58751	6	0	0	26	40	10	3	11	12	53	22	0
Tre2FUNC_PR58752	0	0	0	0	1	0	0	0	0	1	1	0
TRE2-like proteinFUNC_PR58753	0	0	0	0	0	0	0	0	0	0	1	0
