	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
1,4-alpha-glucan-branching proteinFUNC_PR104	8	19	0	0	4	2	0	0	0	4	0	0
1,4-beta-D-glucan glucohydrolaseFUNC_PR105	0	0	0	0	3	5	0	0	0	0	0	0
1,4-beta-glucanaseFUNC_PR106	0	0	0	0	0	1	0	0	0	0	0	1
1,4-beta-N-acetylmuramidaseFUNC_PR107	2	0	0	0	0	13	0	0	0	0	0	0
1,4-beta-xylanaseFUNC_PR108	2	0	0	0	0	17	0	1	0	0	0	0
1,4-dihydroxy-2-naphthoate octaprenyltransferaseFUNC_PR109	0	0	0	0	2	7	0	0	0	1	0	18
1,4-dihydroxy-2-naphthoate polyprenyltransferaseFUNC_PR110	8	15	0	2	21	94	0	0	0	15	1	0
1,4-dihydroxy-2-naphthoate polyprenyltransferase, partialFUNC_PR111	2	0	0	0	0	1	0	0	0	0	0	0
1,4-dihydroxy-2-naphthoyl-CoA synthaseFUNC_PR112	10	0	2	0	2	13	0	0	0	4	2	0
1,4-dihydroxy-2-naphthoyl-CoA synthase, partialFUNC_PR113	0	1	0	0	0	0	0	0	0	1	0	5
1,4-dihydroxy-2-naphthoyl-CoA thioesterase 1FUNC_PR114	1	0	0	0	0	0	0	0	0	0	0	0
1,4-dihydroxy-6-naphthoate synthaseFUNC_PR115	0	2	0	0	1	4	0	0	0	1	0	0
1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenaseFUNC_PR116	2	0	0	0	0	0	0	0	0	2	0	2
10 kDa chaperonin 1, chloroplasticFUNC_PR117	2	1	0	0	0	0	0	0	0	0	0	0
10 kDa heat shock protein, mitochondrialFUNC_PR118	1	0	0	0	0	0	0	0	0	0	0	0
11-beta-hydroxysteroid dehydrogenase-like 5FUNC_PR119	0	0	2	0	0	0	0	0	0	0	0	0
110 kDa U5 small nuclear ribonucleoprotein component CLOFUNC_PR120	1	0	0	0	0	0	0	1	0	0	0	0
